COMPANY,LOCATION,LOGO,LOGO URL,INDUSTRY,DESCRIPTION,URL
Amazon,"Seattle, WA",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQHTvZwCx4p2Qg/company-logo_200_200/0/1612205615891?e=1667433600&v=beta&t=Sa0_GQqqKsTHP3yNEs1FHtyfrB5eRNDJICMo0fYjRCo'),https://media-exp1.licdn.com/dms/image/C560BAQHTvZwCx4p2Qg/company-logo_200_200/0/1612205615891?e=1667433600&v=beta&t=Sa0_GQqqKsTHP3yNEs1FHtyfrB5eRNDJICMo0fYjRCo,"Technology, Information and Internet",https://www.linkedin.com/company/amazon/about/
Microsoft,"Redmond, Washington",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQE88xCsONDULQ/company-logo_200_200/0/1618231291419?e=1667433600&v=beta&t=FLcQgNYT4eblGCT96PFk8wMBsxJHq4j0TxC7PDITv8k'),https://media-exp1.licdn.com/dms/image/C560BAQE88xCsONDULQ/company-logo_200_200/0/1618231291419?e=1667433600&v=beta&t=FLcQgNYT4eblGCT96PFk8wMBsxJHq4j0TxC7PDITv8k,Software Development,https://www.linkedin.com/company/microsoft/about/
Apple,"Cupertino, California",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQHdAaarsO-eyA/company-logo_200_200/0/1595530301220?e=1667433600&v=beta&t=EZnTAZjTSz247f9NNAjDHKbhoMTaDPUGU2VAfuhFP8M'),https://media-exp1.licdn.com/dms/image/C560BAQHdAaarsO-eyA/company-logo_200_200/0/1595530301220?e=1667433600&v=beta&t=EZnTAZjTSz247f9NNAjDHKbhoMTaDPUGU2VAfuhFP8M,Computers and Electronics Manufacturing,https://www.linkedin.com/company/apple/about/
IBM,"Armonk, New York, NY",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQE9wp87-KDfwg/company-logo_200_200/0/1657054972290?e=1667433600&v=beta&t=4am7EafOoIzlpzHdNkA4zTCYoIS1Pp5sHAVMVMComaY'),https://media-exp1.licdn.com/dms/image/C560BAQE9wp87-KDfwg/company-logo_200_200/0/1657054972290?e=1667433600&v=beta&t=4am7EafOoIzlpzHdNkA4zTCYoIS1Pp5sHAVMVMComaY,IT Services and IT Consulting,https://www.linkedin.com/company/ibm/about/
JPMorgan Chase & Co.,"New York, NY",=IMAGE('https://media-exp1.licdn.com/dms/image/C4E0BAQFN7ZGRjNcgeA/company-logo_200_200/0/1656681489088?e=1667433600&v=beta&t=DJHf3HjtoZH42pYQeuIAbGc0GnMoukLIMPV1jNl55RU'),https://media-exp1.licdn.com/dms/image/C4E0BAQFN7ZGRjNcgeA/company-logo_200_200/0/1656681489088?e=1667433600&v=beta&t=DJHf3HjtoZH42pYQeuIAbGc0GnMoukLIMPV1jNl55RU,Financial Services,https://www.linkedin.com/company/jpmorganchase/about/
Johnson & Johnson,"New Brunswick, NJ",=IMAGE('https://media-exp1.licdn.com/dms/image/C4D0BAQFwn8CHaum_AA/company-logo_200_200/0/1519856123566?e=1667433600&v=beta&t=NLOn9MjAOxYCgaxQrxqEUZdPJd_rR_mmLfTkLTi9vek'),https://media-exp1.licdn.com/dms/image/C4D0BAQFwn8CHaum_AA/company-logo_200_200/0/1519856123566?e=1667433600&v=beta&t=NLOn9MjAOxYCgaxQrxqEUZdPJd_rR_mmLfTkLTi9vek,Hospitals and Health Care,https://www.linkedin.com/company/johnson-&-johnson/about/
ExxonMobil,"2,645,420 followers",=IMAGE('https://media-exp1.licdn.com/dms/image/C4D0BAQE_IRWZ2qVHpw/company-logo_200_200/0/1519856502690?e=1667433600&v=beta&t=G6g0MndImyutpoN5j-Xh8H5wUGYuk8hPbYBjAdWNx3s'),https://media-exp1.licdn.com/dms/image/C4D0BAQE_IRWZ2qVHpw/company-logo_200_200/0/1519856502690?e=1667433600&v=beta&t=G6g0MndImyutpoN5j-Xh8H5wUGYuk8hPbYBjAdWNx3s,Oil and Gas,https://www.linkedin.com/company/exxonmobil/about/
Dell Technologies,"Round Rock, Texas",=IMAGE('https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_200_200/0/1614178926580?e=1667433600&v=beta&t=lQHXDtImsduOEfwQ49Y31jbLT8eoeSMyzwHy2nQxUoA'),https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_200_200/0/1614178926580?e=1667433600&v=beta&t=lQHXDtImsduOEfwQ49Y31jbLT8eoeSMyzwHy2nQxUoA,IT Services and IT Consulting,https://www.linkedin.com/company/delltechnologies/about/
LinkedIn,"Sunnyvale, CA",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQHaVYd13rRz3A/company-logo_200_200/0/1638831589865?e=1667433600&v=beta&t=GPSvqXlNFKV_rQtghyA2SehXFmkGUTIFN_kg6ajQDu0'),https://media-exp1.licdn.com/dms/image/C560BAQHaVYd13rRz3A/company-logo_200_200/0/1638831589865?e=1667433600&v=beta&t=GPSvqXlNFKV_rQtghyA2SehXFmkGUTIFN_kg6ajQDu0,"Technology, Information and Internet",https://www.linkedin.com/company/linkedin/about/
Oracle,"Austin, Texas",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQEApEdsA7IhaA/company-logo_200_200/0/1654034535330?e=1667433600&v=beta&t=bt16p2Y-X7Q5cBukcMVT9IJvrOSmX1OXV_opwTVmAHY'),https://media-exp1.licdn.com/dms/image/C560BAQEApEdsA7IhaA/company-logo_200_200/0/1654034535330?e=1667433600&v=beta&t=bt16p2Y-X7Q5cBukcMVT9IJvrOSmX1OXV_opwTVmAHY,IT Services and IT Consulting,https://www.linkedin.com/company/oracle/about/
The Walt Disney Company,"Burbank, CA",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQGXZv4H6QwUeA/company-logo_200_200/0/1625095446434?e=1667433600&v=beta&t=r6xJHcq5AY3vnvp-vat5xuQU8KHT4ETOE4hC_OGt4l0'),https://media-exp1.licdn.com/dms/image/C560BAQGXZv4H6QwUeA/company-logo_200_200/0/1625095446434?e=1667433600&v=beta&t=r6xJHcq5AY3vnvp-vat5xuQU8KHT4ETOE4hC_OGt4l0,Entertainment Providers,https://www.linkedin.com/company/the-walt-disney-company/about/
TED Conferences,"New York, NY",=IMAGE('https://media-exp1.licdn.com/dms/image/C4D0BAQHkvkAwdF8MsQ/company-logo_200_200/0/1519862124898?e=1667433600&v=beta&t=Sk8JrWY3lJ8lwhEg75QrbmskCWLwoW-kRLwktWdLTL0'),https://media-exp1.licdn.com/dms/image/C4D0BAQHkvkAwdF8MsQ/company-logo_200_200/0/1519862124898?e=1667433600&v=beta&t=Sk8JrWY3lJ8lwhEg75QrbmskCWLwoW-kRLwktWdLTL0,Media Production,https://www.linkedin.com/company/ted-conferences/about/
Pfizer,"New York, New York",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQGpRr0HwJJUJQ/company-logo_200_200/0/1656621098671?e=1667433600&v=beta&t=BDAXT01iKeGtdTq7FMR7bvk9ZQcTwkXHPFw1Spcxz8I'),https://media-exp1.licdn.com/dms/image/C560BAQGpRr0HwJJUJQ/company-logo_200_200/0/1656621098671?e=1667433600&v=beta&t=BDAXT01iKeGtdTq7FMR7bvk9ZQcTwkXHPFw1Spcxz8I,Pharmaceutical Manufacturing,https://www.linkedin.com/company/pfizer/about/
Walmart,"Bentonville, Arkansas",=IMAGE('https://media-exp1.licdn.com/dms/image/C560BAQE4Th_qgWovfg/company-logo_200_200/0/1655487552279?e=1667433600&v=beta&t=J6dQ2PJ57TfFyNZubve8eCPGX0co0Uh3SNFrZJrt_YY'),https://media-exp1.licdn.com/dms/image/C560BAQE4Th_qgWovfg/company-logo_200_200/0/1655487552279?e=1667433600&v=beta&t=J6dQ2PJ57TfFyNZubve8eCPGX0co0Uh3SNFrZJrt_YY,Retail,https://www.linkedin.com/company/walmart/about/
